method,converged_hard,n_iters,final_smooth_margin,final_hard_margin,wall_time_s,final_k1,final_k2
heuristic,True,1,-0.12739,+0.04259,0.0067,-0.1200,+0.8500
autodiff_sym,True,3,-0.15611,+0.00474,0.2291,-0.1289,+1.0000
autodiff_dir,True,1,-0.12739,+0.04259,0.0077,-0.1200,+0.8500
